# 红区端口扫描报告
# 扫描开始时间: 2025-12-25 08:54:58
# 扫描结束时间: 2025-12-25 10:28:25
# 扫描用时: 1小时33分钟28秒
# 发现主机数: 513 台
#============================================================

10.32.20.1    7547
10.44.201.150    2000,5060
10.44.201.151    2000,5060
10.44.201.152    2000,5060
10.44.201.153    2000,5060
10.44.201.154    2000,5060
10.44.201.155    2000,5060
10.44.201.156    2000,5060
10.44.201.157    2000,5060
10.44.201.158    2000,5060
10.44.201.159    2000,5060
10.44.201.160    2000,5060
10.44.201.161    2000,5060
10.44.201.162    2000,5060
10.44.201.163    2000,5060
10.44.201.164    2000,5060
10.44.201.165    2000,5060
10.44.201.166    2000,5060
10.44.201.167    2000,5060
10.44.201.168    2000,5060
10.44.201.169    2000,5060
10.44.201.170    2000,5060
10.44.201.171    2000,5060
10.44.201.172    2000,5060
10.44.201.173    2000,5060
10.44.201.174    2000,5060
10.44.201.175    2000,5060
10.44.201.176    2000,5060
10.44.201.177    2000,5060
10.44.201.178    2000,5060
10.44.201.179    2000,5060
10.44.201.180    2000,5060
10.44.201.181    2000,5060
10.44.201.182    2000,5060
10.44.201.183    2000,5060
10.44.201.184    2000,5060
10.44.201.185    2000,5060
10.44.201.186    2000,5060
10.44.201.187    2000,5060
10.44.201.188    2000,5060
10.44.201.189    2000,5060
10.44.201.190    2000,5060
10.44.201.191    2000,5060
10.44.201.192    2000,5060
10.44.201.193    2000,5060
10.44.201.194    2000,5060
10.44.201.195    2000,5060
10.44.201.196    2000,5060
10.44.201.197    2000,5060
10.44.201.198    2000,5060
10.44.201.199    2000,5060
10.44.201.200    2000,5060
10.44.201.201    2000,5060
10.44.201.202    2000,5060
10.44.201.203    2000,5060
10.44.201.204    2000,5060
10.44.201.205    2000,5060
10.44.201.206    2000,5060
10.44.201.207    2000,5060
10.44.201.208    2000,5060
10.44.201.209    2000,5060
10.44.201.210    2000,5060
10.44.201.211    2000,5060
10.44.201.212    2000,5060
10.44.201.213    2000,5060
10.44.201.214    2000,5060
10.44.201.215    2000,5060
10.44.201.216    2000,5060
10.44.201.217    2000,5060
10.44.201.218    2000,5060
10.44.201.219    2000,5060
10.44.201.220    2000,5060
10.44.201.221    2000,5060
10.44.201.222    2000,5060
10.44.201.223    2000,5060
10.44.201.224    2000,5060
10.44.201.225    2000,5060
10.44.201.226    2000,5060
10.44.201.227    2000,5060
10.44.201.228    2000,5060
10.44.201.229    2000,5060
10.44.201.230    2000,5060
10.44.201.231    2000,5060
10.44.201.232    2000,5060
10.44.201.233    2000,5060
10.44.201.234    2000,5060
10.44.201.235    2000,5060
10.44.201.236    2000,5060
