# RustScan 网络扫描报告
# 扫描时间: 2025-10-10 14:26:08
# 扫描端口: 21,22,23,80,443,445,873,1433,1521,1883,2181,2375,3306,3389,5236,5432,5672,5900,5901,5902,5903,5904,5905,6379,7001,8080,8081,8082,8088,11211,8161,8443,8848,8888,9200,15672,27017,54321,61616

10.6.34.11  [80, 443]
10.6.35.11  [80, 443]
10.6.33.10  [80, 443]
10.6.33.11  [80, 443]
10.6.33.12  [80, 443]
10.6.33.13  [80, 443]
10.6.33.14  [80, 443]
10.6.32.10  [8088]
10.6.32.11  [80, 443]
10.6.32.12  [80, 443]
10.6.32.13  [80, 443]
10.6.32.131  [80, 443]
10.6.32.14  [80, 443]
10.6.32.35  [80, 443]
10.6.32.36  [80, 443]
10.6.32.37  [80, 443]
10.6.32.9  [8088]
10.6.130.2  [80, 443]
10.8.12.150  [23]
10.8.11.200  [23]
10.10.10.12  [445]
10.10.10.31  [23, 443]
10.10.10.32  [443]
10.10.10.33  [23, 443]
10.10.10.34  [443]
10.10.10.35  [23, 443]
10.10.10.36  [23, 443]
10.10.10.37  [23, 443]
10.10.10.38  [443]
10.10.12.131  [80]
10.10.12.151  [8080]
10.10.12.152  [8080]
10.10.12.153  [23, 80]
10.10.12.161  [80]
10.10.12.17  [80, 443]
10.10.12.191  [80]
10.10.18.1  [80, 443]
10.10.31.13  [80, 8443]
10.10.31.14  [80, 8443]
10.10.32.208  [80, 443]
10.10.33.136  [80]
10.10.33.162  [80]
10.10.33.49  [80]
10.10.42.1  [23]
10.10.43.1  [23]
10.10.52.132  [80, 443]
10.10.52.133  [80, 443]
10.10.52.200  [443]
10.10.52.27  [80]
10.10.52.28  [80]
10.10.47.1  [23]
10.10.49.1  [23]
10.10.41.1  [23]
10.10.82.12  [80]
10.10.82.133  [80, 443]
10.10.82.17  [80]
10.10.104.140  [445]
10.10.104.156  [22]
10.10.104.185  [22, 445]
10.10.104.228  [445]
10.10.104.52  [54321]
10.10.104.91  [22]
10.10.104.93  [22]
10.10.92.131  [80]
10.10.92.132  [80, 443]
10.10.92.134  [80, 8080]
10.10.92.161  [80]
10.10.100.26  [23]
10.10.122.200  [8088]
10.10.122.37  [443]
10.10.122.39  [80, 443]
10.10.122.56  [80, 443]
10.10.122.75  [443]
10.10.122.76  [443]
10.10.188.1  [23]
10.10.201.20  [445]
10.10.200.137  [80, 443]
10.10.200.138  [80, 443]
10.10.200.139  [80, 443]
10.10.200.140  [80]
10.10.252.1  [443]
10.10.254.242  [23, 443]
10.11.1.2  [80, 443]
10.11.12.131  [80]
10.11.12.151  [8080]
10.11.12.161  [80]
10.11.12.70  [80]
10.11.12.71  [80]
10.11.12.72  [80]
10.11.34.111  [80, 443]
10.11.22.131  [80]
10.11.22.132  [80]
10.11.22.134  [80, 443]
10.11.22.136  [80, 8080]
10.11.22.162  [80]
10.11.23.118  [80]
10.11.23.120  [80]
10.11.23.159  [80]
10.11.23.224  [80]
10.11.23.28  [80]
10.11.23.32  [80]
10.11.23.42  [80]
10.11.52.131  [80, 443]
10.11.52.134  [80]
10.11.52.161  [80]
10.11.52.164  [80]
10.11.54.75  [445]
10.11.62.131  [80]
10.11.62.139  [80, 443]
10.11.62.161  [80]
10.11.64.146  [445]
10.11.64.174  [445]
10.11.72.131  [80, 443]
10.11.72.20  [80]
10.11.73.200  [80]
10.11.73.232  [80]
10.11.73.248  [80]
10.11.73.30  [80]
10.11.73.70  [80]
10.11.80.111  [80]
10.11.80.121  [80, 443, 8080]
10.11.80.135  [80]
10.11.80.191  [80]
10.11.80.192  [80]
10.11.80.41  [443]
10.11.84.139  [54321]
10.11.84.14  [5236]
10.11.84.2  [8088]
10.11.84.78  [8082, 8088]
10.11.82.161  [80]
10.11.85.170  [5236]
10.11.92.132  [80]
